"","id","health","birthweight","All","Neutral","Immune","year"
"1","AGP00025","0",5.1,1.00260891189252,0.902385110554015,1.6569291604083,2000
"2","AGP00132","1",4.8,0.938003000917528,0.940795507367302,0.920516200226834,2000
"3","AGP01083","1",4.8,0.978155035992706,1.07158231878289,0.368206480090734,2001
"4","AGP01096","0",4.45,1.12487829139161,1.07158231878289,1.47282592036293,2001
"5","AGP02025","0",4.6,1.02706278779234,1.09978185348771,0.5523097201361,2002
"6","AGP02029","1",4.05,1.07597053959198,1.07158231878289,1.1046194402722,2002
"7","AGP03027","0",5.4,1.02706278779234,1.01518324937327,1.1046194402722,2003
"8","AGP03041","1",5.3,0.953701160092889,0.930584645258828,1.1046194402722,2003
"9","AGP03057","0",5.25,1.06801743565304,1.06198498508424,1.1046194402722,2003
"10","AGP03060","1",5.5,0.844310905911626,0.79733690013661,1.1046194402722,2003
"11","AGP04057","0",4.5,1.06724716378386,1.09011091195726,0.920516200226834,2004
"12","AGP04101","1",6.9,0.880339532393435,0.902385110554015,0.736412960181467,2004
"13","AGP04153","0",5.2,0.948855620178441,0.895526503206601,1.28872268031757,2004
"14","AGP04216","1",4.6,1.02706278779234,0.958784179963642,1.47282592036293,2004
"15","AGP08023","0",5,1.00260891189252,1.04338278407808,0.736412960181467,2008
"16","AGP08038","0",5.2,0.953701160092889,0.902385110554015,1.28872268031757,2008
"17","AGP08050","0",4.8,0.978155035992706,1.01518324937327,0.736412960181467,2008
"18","AGP08059","1",4.9,1.00260891189252,0.958784179963642,1.28872268031757,2008
"19","AGP08072","1",5,1.00260891189252,1.04338278407808,0.736412960181467,2008
"20","AGP08081","1",4.7,1.07597053959198,1.07158231878289,1.1046194402722,2008
"21","AGP08091","1",5.2,1.05151666369216,1.07158231878289,0.920516200226834,2008
"22","AGP08095","0",5.4,1.05374750848827,1.04549340233242,1.1046194402722,2008
"23","AGP08099","1",4.7,0.904793408293253,0.930584645258828,0.736412960181467,2008
"24","AGP08115","0",5.3,0.8314317805938,0.874185575849203,0.5523097201361,2008
"25","AGP08117","1",6.3,1.05151666369216,1.04338278407808,1.1046194402722,2008
"26","AGP08119","0",5.2,0.978155035992706,0.930584645258828,1.28872268031757,2008
"27","AGP08131","0",4.7,1.07597053959198,1.07158231878289,1.1046194402722,2008
"28","AGP08146","1",5.5,1.12487829139161,1.09978185348771,1.28872268031757,2008
"29","AGP08147","1",4.7,1.05151666369216,1.07158231878289,0.920516200226834,2008
"30","AGP08157","1",4.6,0.953701160092889,0.930584645258828,1.1046194402722,2008
"31","AGP08160","0",5.2,0.978155035992706,1.01518324937327,0.736412960181467,2008
"32","AGP08165","1",5.1,1.10042441549179,1.09978185348771,1.1046194402722,2008
"33","AGP08166","0",4.7,1.00260891189252,1.01518324937327,0.920516200226834,2008
"34","AGP08167","0",3.7,1.07597053959198,1.01518324937327,1.47282592036293,2008
"35","AGP08170","1",6,0.978155035992706,0.958784179963642,1.1046194402722,2008
"36","AGP08171","1",4.1,0.950000484115782,0.925705088357926,1.1046194402722,2008
"37","AGP08174","1",4.4,1.02706278779234,0.986983714668454,1.28872268031757,2008
"38","AGP08178","0",5.4,1.14554010292873,1.12195687842163,1.28872268031757,2008
"39","AGP08180","1",5.3,0.948855620178441,0.982190358355627,0.736412960181467,2008
"40","AGP08192","0",4.8,0.970102153711243,0.978085039449868,0.920516200226834,2008
"41","AGP08198","1",5.8,1.00260891189252,1.04338278407808,0.736412960181467,2008
"42","AGP08203","0",4.8,1.05151666369216,1.07158231878289,0.920516200226834,2008
"43","AGP08222","0",5.3,1.17378604319125,1.21257999230696,0.920516200226834,2008
"44","AGP08206","1",5,1.10042441549179,1.15618092289733,0.736412960181467,2008
"45","AGP08226","1",4.7,0.8314317805938,0.874185575849203,0.5523097201361,2008
"46","AGP08228","1",6,1.02706278779234,0.986983714668454,1.28872268031757,2008
"47","AGP08229","0",4.8,0.8314317805938,0.874185575849203,0.5523097201361,2008
"48","AGP08234","0",5.1,1.06801743565304,1.12266984137477,0.736412960181467,2008
"49","AGP08236","0",5.1,0.879822751710503,0.902500671378111,0.736412960181467,2008
"50","AGP08248","0",5.3,1.00260891189252,0.986983714668454,1.1046194402722,2008
"51","AGP08253","1",5.1,1.14616505289594,1.15301226952003,1.1046194402722,2008
"52","AGP08258","0",5.7,0.963771977597547,1.03158192034847,0.5523097201361,2008
"53","AGP08274","0",5.4,0.923885735436903,0.895526503206601,1.1046194402722,2008
"54","AGP08284","0",5.2,0.978155035992706,1.01518324937327,0.736412960181467,2008
"55","AGP08286","1",5.1,0.937771406914862,0.910272844357918,1.1046194402722,2008
"56","AGP08305","0",4.4,0.929247284193071,0.930584645258828,0.920516200226834,2008
"57","AGP08318","1",3.9,0.806977904693983,0.789586971734764,0.920516200226834,2008
"58","AGP08328","0",5.3,0.904793408293253,0.930584645258828,0.736412960181467,2008
"59","AGP08334","1",3.6,1.10042441549179,1.04338278407808,1.47282592036293,2008
"60","AGP08336","1",4.2,0.978155035992706,0.958784179963642,1.1046194402722,2008
"61","AGP09107","1",5.4,1.02706278779234,1.01518324937327,1.1046194402722,2009
"62","AGP09115","0",5.6,0.904793408293253,0.930584645258828,0.736412960181467,2009
"63","AGP10129","0",5,1.07597053959198,1.04338278407808,1.28872268031757,2010
"64","AGP10038","0",4.5,1.07597053959198,0.958784179963642,1.84103240045367,2010
"65","AGP10154","1",4.2,0.953701160092889,0.986983714668454,0.736412960181467,2010
"66","AGP10156","0",5.9,0.949894940179755,0.954510650790454,0.920516200226834,2010
"67","AGP10166","1",5.8,0.978155035992706,0.986983714668454,0.920516200226834,2010
"68","AGP10214","1",4.3,1.0748811165192,1.07020891149233,1.1046194402722,2010
"69","AGP12030","0",5.4,0.782524028794165,0.845986041144389,0.368206480090734,2012
"70","AGP12120","1",5.6,1.01591902415777,1.03164255693897,0.920516200226834,2012
"71","AGP12135","0",4.5,1.04448947229319,0.891205211726384,1.26145552560647,2012
"72","AGP12141","1",4.4,0.989869818410132,1.03164255693897,0.736412960181467,2012
"73","AGP12249","1",3.6,1.00847716941893,1.02285064785448,0.920516200226834,2012
"74","AGP12253","0",3.5,1.12487829139161,1.09978185348771,1.28872268031757,2012
"75","AGP14124","1",4.3,1.07597053959198,1.09978185348771,0.920516200226834,2014
"76","AGP14135","0",5.7,1.01902381994615,1.00443030387849,1.1046194402722,2014
"77","AGP14171","0",5.15,1.10042441549179,1.04338278407808,1.47282592036293,2014
"78","AGP14200","1",4.7,0.953701160092889,0.986983714668454,0.736412960181467,2014
